dist,idx_problem,n_segments,displace_func,reoptm_standard_form,reoptm_ldr,reoptm_pwldr_uniform,reoptm_pwldr_optimize,reoptm_eev,dr_ldr,dr_pwldr_uniform,dr_pwldr_optimize,obj_value_ldr,obj_value_pwldr_uniform,obj_value_pwldr_optimize,obj_value_eev,obj_value_standard_form,ws,opt_time
"Unif 10,90",1,2,black_box,25951.11741948512,35460.432888249496,26007.45962525053,26147.246289666866,26007.45962525053,35499.03637149383,30231.608181807696,30132.704247307684,35472.687581763916,30177.44820929001,30068.430942489744,22969.495413966313,26343.404184592673,23049.034772599654,16.055000066757202
"Unif 10,90",1,2,ls_independent,25951.11741948512,35460.432888249496,26007.45962525053,26122.444203763676,26007.45962525053,35499.03637149383,30231.608181807696,30096.601715405097,35472.687581763916,30177.44820929001,30042.885227069677,22969.495413966313,26343.404184592673,23049.034772599654,1.7660000324249268
"Unif 10,90",1,2,ls_dependent,25951.11741948512,35460.432888249496,26007.45962525053,26122.444203763676,26007.45962525053,35499.03637149383,30231.608181807696,30096.601715405097,35472.687581763916,30177.44820929001,30042.88522706968,22969.495413966313,26343.404184592673,23049.034772599654,1.2939999103546143
"Unif 10,90",1,3,black_box,25951.11741948512,35460.432888249496,27551.786497983096,26289.81007606928,26007.45962525053,35499.03637149383,30364.409876541966,30125.16389378443,35472.687581763916,30334.25091225054,30082.49139071656,22969.495413966313,26343.404184592673,23049.034772599654,20.506999969482422
"Unif 10,90",1,3,ls_independent,25951.11741948512,35460.432888249496,27551.786497983096,26119.00813074593,26007.45962525053,35499.03637149383,30364.409876541966,30052.730361333903,35472.687581763916,30334.25091225054,29998.54259800698,22969.495413966313,26343.404184592673,23049.034772599654,9.437000036239624
"Unif 10,90",1,3,ls_dependent,25951.11741948512,35460.432888249496,27551.786497983096,26140.107174322682,26007.45962525053,35499.03637149383,30364.409876541966,30050.745732568816,35472.687581763916,30334.25091225054,29998.254296275427,22969.495413966313,26343.404184592673,23049.034772599654,5.2779998779296875
"Unif 10,90",1,4,black_box,25951.11741948512,35460.432888249496,25975.194189125614,26241.836058729372,26007.45962525053,35499.03637149383,30147.011410289357,30067.18730055747,35472.687581763916,30093.725468428005,30018.520018320116,22969.495413966313,26343.404184592673,23049.034772599654,30.499000072479248
"Unif 10,90",1,4,ls_independent,25951.11741948512,35460.432888249496,25975.194189125614,26086.012060035137,26007.45962525053,35499.03637149383,30147.011410289357,30026.557435398285,35472.687581763916,30093.725468428005,29971.816950666755,22969.495413966313,26343.404184592673,23049.034772599654,15.371000051498413
"Unif 10,90",1,4,ls_dependent,25951.11741948512,35460.432888249496,25975.194189125614,26095.357000541117,26007.45962525053,35499.03637149383,30147.011410289357,30024.809755776318,35472.687581763916,30093.725468428005,29970.67329303198,22969.495413966313,26343.404184592673,23049.034772599654,18.236999988555908
"Unif 10,90",1,5,black_box,25951.11741948512,35460.432888249496,26488.967324263576,26099.142375676318,26007.45962525053,35499.03637149383,30074.97574351931,30045.03599621398,35472.687581763916,30030.218649031798,29981.856724981906,22969.495413966313,26343.404184592673,23049.034772599654,38.67699980735779
