idx_p,idx_v,variable,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
4,1,"Truncated{MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}, Continuous, Float64, Float64, Float64}",1289.1059532859435,10065.024489950321,3531.119163238556,2236.0185935012937,2759.203034044645,0.0,84.30496675703942,28.420660992877103,0.0,33.146376827860884,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
4,2,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",25.20246342969662,196.77468014198857,69.03459048542665,43.71493024851315,53.943365464540236,0.0,67.42182365308085,19.510984847487762,0.0,24.413588347882236,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
4,3,Uniform{Float64},25.20246342969662,196.77468014198857,69.03459048542665,43.71493024851315,53.943365464540236,0.0,59.344782542735075,18.042569375626226,0.0,22.29533675436653,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
4,4,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",25.20246342969662,196.77468014198857,69.03459048542665,43.71493024851315,53.943365464540236,0.0,74.65909148230573,26.778007269646306,0.0,31.35293319848207,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
5,1,"Truncated{MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}, Continuous, Float64, Float64, Float64}",1330.7646111188242,10193.834243641852,3654.843026348618,2273.7663806481155,2922.788681156604,0.0,47.4897692363933,14.24362193076807,0.0,18.215598955498145,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
5,2,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",25.844893605267004,197.9753288112698,70.98101976165168,44.15901181928587,56.76372956120492,0.0,75.05762528093493,22.67747782800018,0.0,27.565953118767098,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
5,3,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",25.844893605267004,197.9753288112698,70.98101976165168,44.15901181928587,56.76372956120492,0.0,60.57680478981391,20.284051887645802,0.0,23.853820278656986,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
5,4,Uniform{Float64},25.844893605267004,197.9753288112698,70.98101976165168,44.15901181928587,56.76372956120492,0.0,69.75976144606109,23.115914060404357,0.0,27.85735591426374,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
6,1,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",26.90544214685161,192.7554066017786,66.55560894369135,44.44941770144575,50.86468915298191,0.0,69.24566599438742,21.243267117768255,0.0,26.23437274719184,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
6,2,"Truncated{MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}, Continuous, Float64, Float64, Float64}",26.90544214685161,192.7554066017786,66.55560894369135,44.44941770144575,50.86468915298191,0.0,89.27112041260708,26.43872390418635,0.0,32.40706528302778,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
6,3,Uniform{Float64},1314.3835936838211,9416.47948576376,3251.3719709847173,2171.4411923320163,2484.8397790902045,0.0,82.76195429892685,24.68893092497727,0.0,29.690803167972295,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
6,4,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",26.90544214685161,192.7554066017786,66.55560894369135,44.44941770144575,50.86468915298191,0.0,87.7507139901926,28.602342321878997,0.0,34.801719266743675,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
7,1,"Truncated{MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}, Continuous, Float64, Float64, Float64}",1202.4517209082085,9410.420716045413,3224.63055352735,2102.664077963914,2516.919350415625,0.0,48.50368250959709,14.139793973831438,0.0,17.149578110199414,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
7,2,Uniform{Float64},25.028798767796147,195.87607745640227,67.1200579793458,43.766543943970674,52.38918689287951,0.0,59.96565175631729,14.452234582232329,0.0,20.72532649986874,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
7,3,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",25.028798767796147,195.87607745640227,67.1200579793458,43.766543943970674,52.38918689287951,0.0,74.50957599756109,27.743509649169827,0.0,31.731066609273068,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
7,4,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",25.028798767796147,195.87607745640227,67.1200579793458,43.766543943970674,52.38918689287951,0.0,78.31946445391091,22.598488252677786,0.0,28.15924989757476,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
8,1,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",27.79805355286057,190.1608191607775,65.03058043243595,42.36139929684406,49.66926301155227,0.0,69.12755366411288,18.926351881769918,0.0,24.633266374077206,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
8,2,Uniform{Float64},27.79805355286057,190.1608191607775,65.03058043243595,42.36139929684406,49.66926301155227,0.0,79.84564078070878,24.640850144970486,0.0,31.512940450461674,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
8,3,"Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}",27.79805355286057,190.1608191607775,65.03058043243595,42.36139929684406,49.66926301155227,0.0,86.91342927120184,24.1309831325634,0.0,31.319812916485866,0.0,0.1111111111111111,0.018518518518518517,0.0,0.041408666249996104
