dist,n_clients,n_products,n_segments,displace_func,uncertaint_type,rp_ldr,rp_pwldr_uniform,rp_pwldr,eev_ldr,eev_pwldr_uniform,eev_pwldr,ws,opt_time
"Unif 10,90",5,5,5,black_box,demand,11079.001149292395,10789.48854191297,10775.223815828758,11083.078081863605,10786.216954846634,10774.333344751116,9321.2294625458,38.73800015449524
"Unif 10,90",5,5,5,ls_independent,demand,11079.001149292395,10789.48854191297,10757.49707618335,11083.078081863605,10786.216954846634,10754.451095381519,9321.2294625458,42.88800001144409
"Unif 10,90",5,5,5,ls_dependent,demand,11079.001149292395,10789.48854191297,10756.824650101367,11083.078081863605,10786.216954846634,10753.758707188876,9321.2294625458,25.30900001525879
"Normal 50,5 - 10,90",2,5,2,black_box,demand,5871.60112045156,5507.146721985078,5426.487436210325,5870.594784490224,5502.995913162607,5423.418674635348,5313.361283411302,1.4089999198913574
"Normal 50,5 - 10,90",2,5,2,ls_independent,demand,5871.60112045156,5507.146721985078,5424.598006370575,5870.594784490224,5502.995913162607,5422.066944134776,5313.361283411302,0.06700015068054199
"Normal 50,5 - 10,90",2,5,2,ls_dependent,demand,5871.60112045156,5507.146721985078,5424.598006370575,5870.594784490224,5502.995913162607,5422.066944134776,5313.361283411302,0.05299997329711914
"Normal 50,5 - 10,90",2,5,3,black_box,demand,5871.60112045156,5500.777991920928,5424.216045218335,5870.594784490224,5499.800856776838,5421.646457625238,5313.361283411302,2.134000062942505
"Normal 50,5 - 10,90",2,5,3,ls_independent,demand,5871.60112045156,5500.777991920928,5424.216045218334,5870.594784490224,5499.800856776838,5421.646457625238,5313.361283411302,0.13499999046325684
"Normal 50,5 - 10,90",2,5,3,ls_dependent,demand,5871.60112045156,5500.777991920928,5424.216045218334,5870.594784490224,5499.800856776838,5421.646457625238,5313.361283411302,0.11899995803833008
"Normal 50,5 - 10,90",2,5,4,black_box,demand,5871.60112045156,5507.146721985077,5424.2816057159625,5870.594784490224,5502.995913162607,5421.6875788842335,5313.361283411302,3.5880000591278076
"Normal 50,5 - 10,90",2,5,4,ls_independent,demand,5871.60112045156,5507.146721985077,5424.281605715962,5870.594784490224,5502.995913162607,5421.687578884232,5313.361283411302,0.28999996185302734
"Normal 50,5 - 10,90",2,5,4,ls_dependent,demand,5871.60112045156,5507.146721985077,5424.281605715961,5870.594784490224,5502.995913162607,5421.687578884232,5313.361283411302,0.27899980545043945
"Normal 50,5 - 10,90",2,5,5,black_box,demand,5871.60112045156,5437.151461968813,5424.342756090668,5870.594784490224,5435.692394425306,5421.700887411915,5313.361283411302,4.828000068664551
"Normal 50,5 - 10,90",2,5,5,ls_independent,demand,5871.60112045156,5437.151461968813,5424.26481276649,5870.594784490224,5435.692394425306,5421.712429844213,5313.361283411302,0.49500012397766113
"Normal 50,5 - 10,90",2,5,5,ls_dependent,demand,5871.60112045156,5437.151461968813,5424.264812766491,5870.594784490224,5435.692394425306,5421.712429844214,5313.361283411302,0.42600011825561523
"Normal 50,5 - 10,90",3,5,2,black_box,demand,8604.827675013124,8109.04761925243,8017.764489643889,8607.14052613247,8102.912917179408,8015.501649499306,7834.3340499610695,2.927000045776367
"Normal 50,5 - 10,90",3,5,2,ls_independent,demand,8604.827675013124,8109.04761925243,7987.138449777429,8607.14052613247,8102.912917179408,7984.788062700075,7834.3340499610695,0.2739999294281006
"Normal 50,5 - 10,90",3,5,2,ls_dependent,demand,8604.827675013124,8109.04761925243,7987.138449777429,8607.14052613247,8102.912917179408,7984.788062700075,7834.3340499610695,0.16000008583068848
"Normal 50,5 - 10,90",3,5,3,black_box,demand,8604.827675013124,8090.229033453144,7993.832018195968,8607.14052613247,8092.550608254687,7992.213900108499,7834.3340499610695,5.3470001220703125
"Normal 50,5 - 10,90",3,5,3,ls_independent,demand,8604.827675013124,8090.229033453144,7985.549590346394,8607.14052613247,8092.550608254687,7983.588001494468,7834.3340499610695,0.6979999542236328
"Normal 50,5 - 10,90",3,5,3,ls_dependent,demand,8604.827675013124,8090.229033453144,7985.549590346394,8607.14052613247,8092.550608254687,7983.588001494468,7834.3340499610695,0.507000207901001
"Normal 50,5 - 10,90",3,5,4,black_box,demand,8604.827675013124,8104.202005855052,7995.317845059837,8607.14052613247,8098.361356909467,7991.4201513505195,7834.3340499610695,9.562999963760376
"Normal 50,5 - 10,90",3,5,4,ls_independent,demand,8604.827675013124,8104.202005855052,7985.110404050189,8607.14052613247,8098.361356909467,7983.567941705949,7834.3340499610695,1.6390001773834229
"Normal 50,5 - 10,90",3,5,4,ls_dependent,demand,8604.827675013124,8104.202005855052,7985.11040405019,8607.14052613247,8098.361356909467,7983.567941705949,7834.3340499610695,1.0350000858306885
"Normal 50,5 - 10,90",3,5,5,black_box,demand,8604.827675013124,8002.2019836975605,7985.600395293998,8607.14052613247,8003.178709704113,7983.725004079569,7834.3340499610695,14.306999921798706
"Normal 50,5 - 10,90",3,5,5,ls_independent,demand,8604.827675013124,8002.2019836975605,7984.944635394184,8607.14052613247,8003.178709704113,7982.853677234191,7834.3340499610695,2.1630001068115234
"Normal 50,5 - 10,90",3,5,5,ls_dependent,demand,8604.827675013124,8002.2019836975605,7984.944635394184,8607.14052613247,8003.178709704113,7982.853677234191,7834.3340499610695,1.7900002002716064
"Normal 50,5 - 10,90",4,5,2,black_box,demand,11846.592694743753,10979.128818506859,10887.753611951433,11829.63639731844,10950.656196859793,10871.304495268543,10586.912765393476,5.761999845504761
"Normal 50,5 - 10,90",4,5,2,ls_independent,demand,11846.592694743753,10979.128818506859,10845.943205872458,11829.63639731844,10950.656196859793,10825.461525234545,10586.912765393476,0.684999942779541
"Normal 50,5 - 10,90",4,5,2,ls_dependent,demand,11846.592694743753,10979.128818506859,10845.943205872458,11829.63639731844,10950.656196859793,10825.46152523455,10586.912765393476,0.42999982833862305
"Normal 50,5 - 10,90",4,5,3,black_box,demand,11846.592694743753,11020.796163877902,10869.375737319235,11829.63639731844,11003.424302986516,10846.413370130264,10586.912765393476,11.04800009727478
"Normal 50,5 - 10,90",4,5,3,ls_independent,demand,11846.592694743753,11020.796163877902,10844.438130815053,11829.63639731844,11003.424302986516,10823.627429716356,10586.912765393476,1.8819999694824219
"Normal 50,5 - 10,90",4,5,3,ls_dependent,demand,11846.592694743753,11020.796163877902,10844.438130815053,11829.63639731844,11003.424302986516,10823.627429716356,10586.912765393476,1.25
"Normal 50,5 - 10,90",4,5,4,black_box,demand,11846.592694743753,10979.128818506862,10846.770633887887,11829.63639731844,10950.656196859793,10826.678296943186,10586.912765393476,21.491999864578247
"Normal 50,5 - 10,90",4,5,4,ls_independent,demand,11846.592694743753,10979.128818506862,10841.947138007237,11829.63639731844,10950.656196859793,10820.766846543473,10586.912765393476,3.751000165939331
"Normal 50,5 - 10,90",4,5,4,ls_dependent,demand,11846.592694743753,10979.128818506862,10841.94713800724,11829.63639731844,10950.656196859793,10820.766846543474,10586.912765393476,3.0320000648498535
"Normal 50,5 - 10,90",4,5,5,black_box,demand,11846.592694743753,10876.03554880144,10857.345554375504,11829.63639731844,10858.129362108213,10834.814477758782,10586.912765393476,31.219000101089478
"Normal 50,5 - 10,90",4,5,5,ls_independent,demand,11846.592694743753,10876.03554880144,10841.792079840161,11829.63639731844,10858.129362108213,10820.855877958697,10586.912765393476,8.657999992370605
"Normal 50,5 - 10,90",4,5,5,ls_dependent,demand,11846.592694743753,10876.03554880144,10841.79207984016,11829.63639731844,10858.129362108213,10820.855877958695,10586.912765393476,6.1529998779296875
"Normal 50,5 - 10,90",5,5,2,black_box,demand,14368.706445883823,13635.13919564566,13548.847684217462,14360.968562838862,13633.665215246136,13550.512778058182,13103.673443741618,10.116000175476074
"Normal 50,5 - 10,90",5,5,2,ls_independent,demand,14368.706445883823,13635.13919564566,13385.568258781212,14360.968562838862,13633.665215246136,13384.420513240682,13103.673443741618,2.310999870300293
"Normal 50,5 - 10,90",5,5,2,ls_dependent,demand,14368.706445883823,13635.13919564566,13383.57844767716,14360.968562838862,13633.665215246136,13382.040806295041,13103.673443741618,1.7699999809265137
"Normal 50,5 - 10,90",5,5,3,black_box,demand,14368.706445883823,13522.525609032382,13421.831791862922,14360.968562838862,13515.20136626955,13422.267455192607,13103.673443741618,19.4689998626709
"Normal 50,5 - 10,90",5,5,3,ls_independent,demand,14368.706445883823,13522.525609032382,13377.605843532589,14360.968562838862,13515.20136626955,13374.933123078947,13103.673443741618,5.702000141143799
"Normal 50,5 - 10,90",5,5,3,ls_dependent,demand,14368.706445883823,13522.525609032382,13377.60584353259,14360.968562838862,13515.20136626955,13374.933123078948,13103.673443741618,2.8559999465942383
"Normal 50,5 - 10,90",5,5,4,black_box,demand,14368.706445883823,13623.017212638339,13431.284930524853,14360.968562838862,13621.110589419413,13431.71145158977,13103.673443741618,41.21399998664856
"Normal 50,5 - 10,90",5,5,4,ls_independent,demand,14368.706445883823,13623.017212638339,13370.055705222852,14360.968562838862,13621.110589419413,13367.214245805193,13103.673443741618,14.33400011062622
