dist,n_clients,n_segments,displace_func,PI,sum_model,sum_pi
"Normal 50,5 - 35,65",2,2,black_box,0.15425473197750073,1.6840980741880217e6,1.459035018468392e6
"Normal 50,5 - 35,65",2,5,black_box,0.1675582923066164,1.7035084345785084e6,1.459035018468392e6
"Normal 50,5 - 35,65",2,10,black_box,0.18581923398504724,1.730151787957548e6,1.459035018468392e6
"Normal 50,5 - 35,65",5,2,black_box,1.1389924996430028,8.362939374837096e6,3.9097562877068846e6
"Normal 50,5 - 35,65",5,5,black_box,1.036626031854082,7.962711433749019e6,3.9097562877068846e6
"Normal 50,5 - 35,65",5,10,black_box,1.0623452981741661,8.063267496959176e6,3.9097562877068846e6
"Normal 50,5 - 35,65",10,2,black_box,2.4854058850590195,2.7046913251710963e7,7.760046933889012e6
"Normal 50,5 - 35,65",10,5,black_box,2.759412540418217,2.9173217757496286e7,7.760046933889012e6
"Normal 50,5 - 35,65",10,10,black_box,2.532672869610911,2.741370727025705e7,7.760046933889012e6
"Normal 50,20 - 10,90",2,2,black_box,1.0160718343343524,3.421974023062221e6,1.697347269469719e6
"Normal 50,20 - 10,90",2,5,black_box,1.0160718343343524,3.421974023062221e6,1.697347269469719e6
"Normal 50,20 - 10,90",2,10,black_box,1.1427557150846634,3.6370005621395884e6,1.697347269469719e6
"Normal 50,20 - 10,90",5,2,black_box,3.89270033064143,1.8184505162644584e7,3.7166603171587675e6
"Normal 50,20 - 10,90",5,5,black_box,3.6435757670371904,1.725859378306721e7,3.7166603171587675e6
"Normal 50,20 - 10,90",5,10,black_box,3.6474705279913433,1.727306928655033e7,3.7166603171587675e6
"Normal 50,20 - 10,90",10,2,black_box,11.386862344432227,8.026710373713747e7,6.480019031875068e6
"Normal 50,20 - 10,90",10,5,black_box,11.648586393561294,8.196308055659322e7,6.480019031875068e6
"Normal 50,20 - 10,90",10,10,black_box,10.815362499960662,7.656377386824808e7,6.480019031875068e6
"Normal 50,20 - 35,65",2,2,black_box,0.35713329870952715,2.0367954434309492e6,1.5008072127975198e6
"Normal 50,20 - 35,65",2,5,black_box,0.16481246755090864,1.7481589528568806e6,1.5008072127975198e6
"Normal 50,20 - 35,65",2,10,black_box,0.26710018661688395,1.9016730994117027e6,1.5008072127975198e6
"Normal 50,20 - 35,65",5,2,black_box,1.2736168250709705,7.950881421628823e6,3.497019081647866e6
"Normal 50,20 - 35,65",5,5,black_box,1.2432080114054627,7.844541219990267e6,3.497019081647866e6
