dist,n_clients,n_segments,displace_func,rp_ldr,rp_pwldr_uniform,rp_pwldr,eev_ldr,eev_pwldr_uniform,eev_pwldr,ws,opt_time
"Unif 10,90",4,4,ls_independent,9621.734518149908,10441.79190051353,10492.779381850947,9573.152452756549,10386.502570194916,10434.457680343681,11993.372644283076,15.095999956130981
"Unif 10,90",4,5,black_box,9621.734518149908,10469.737336026446,10487.355089269025,9573.152452756549,10404.430603956107,10427.040586649147,11993.372644283076,34.38199996948242
"Unif 10,90",4,5,ls_independent,9621.734518149908,10469.737336026446,10492.770357640129,9573.152452756549,10404.430603956107,10433.563963234248,11993.372644283076,28.066999912261963
"Unif 10,90",5,2,black_box,11338.836258005347,11671.95988948863,11962.341612851187,11452.032076604142,11782.980851954346,12111.214804525687,14116.562755710669,14.554999828338623
"Unif 10,90",5,2,ls_independent,11338.836258005347,11671.95988948863,12114.36378598835,11452.032076604142,11782.980851954346,12244.941295590947,14116.562755710669,10.57200002670288
"Unif 10,90",5,3,black_box,11338.836258005347,12077.251355033144,12108.540151543755,11452.032076604142,12218.200235869017,12237.602392254092,14116.562755710669,29.800999879837036
"Unif 10,90",5,3,ls_independent,11338.836258005347,12077.251355033144,12132.269150464805,11452.032076604142,12218.200235869017,12262.701801545936,14116.562755710669,26.634999990463257
"Unif 10,90",5,4,black_box,11338.836258005347,12102.31492926714,12099.01122304139,11452.032076604142,12240.026229920155,12243.778608245942,14116.562755710669,47.16300010681152
"Unif 10,90",5,4,ls_independent,11338.836258005347,12102.31492926714,12132.469527858839,11452.032076604142,12240.026229920155,12263.719345930931,14116.562755710669,49.33899998664856
"Unif 10,90",5,5,black_box,11338.836258005347,12102.082910551077,12125.026449473142,11452.032076604142,12236.248644483458,12255.071380436962,14116.562755710669,74.17799997329712
"Unif 10,90",5,5,ls_independent,11338.836258005347,12102.082910551077,12132.587134272448,11452.032076604142,12236.248644483458,12262.998890897288,14116.562755710669,55.84599995613098
"Normal 50,5 - 10,90",2,2,black_box,4071.346201839782,5703.413711092384,5699.285308519898,4063.8901515884813,5688.55929519201,5689.183383341679,5927.394276841652,1.5910000801086426
"Normal 50,5 - 10,90",2,2,ls_independent,4071.346201839782,5703.413711092384,5712.674558340849,4063.8901515884813,5688.55929519201,5700.448481526247,5927.394276841652,0.12199997901916504
"Normal 50,5 - 10,90",2,3,black_box,4071.346201839782,5316.605590497233,5712.699331948398,4063.8901515884813,5309.400838468811,5700.750110925734,5927.394276841652,2.5870001316070557
"Normal 50,5 - 10,90",2,3,ls_independent,4071.346201839782,5316.605590497233,5712.6993319484,4063.8901515884813,5309.400838468811,5700.750110925735,5927.394276841652,0.23600006103515625
"Normal 50,5 - 10,90",2,4,black_box,4071.346201839782,5703.413711092382,5711.547784302257,4063.8901515884813,5688.55929519201,5698.561628014417,5927.394276841652,4.578999996185303
"Normal 50,5 - 10,90",2,4,ls_independent,4071.346201839782,5703.413711092382,5712.327357714635,4063.8901515884813,5688.55929519201,5701.02881897262,5927.394276841652,0.7100000381469727
"Normal 50,5 - 10,90",2,5,black_box,4071.346201839782,5552.699357315631,5712.351551878226,4063.8901515884813,5545.055786704614,5700.80867563225,5927.394276841652,6.817000150680542
"Normal 50,5 - 10,90",2,5,ls_independent,4071.346201839782,5552.699357315631,5712.6610380305665,4063.8901515884813,5545.055786704614,5700.452076170755,5927.394276841652,1.257000207901001
"Normal 50,5 - 10,90",3,2,black_box,6209.766762473623,7805.192048847007,7733.0787330382145,6214.404573233613,7813.146387190226,7743.316163362451,8131.4183677516785,3.8949999809265137
"Normal 50,5 - 10,90",3,2,ls_independent,6209.766762473623,7805.192048847007,7845.479510765443,6214.404573233613,7813.146387190226,7849.997438072081,8131.4183677516785,0.7900002002716064
"Normal 50,5 - 10,90",3,3,black_box,6209.766762473623,7485.835523473383,7841.568156602197,6214.404573233613,7490.721701480312,7847.024082102286,8131.4183677516785,7.316999912261963
"Normal 50,5 - 10,90",3,3,ls_independent,6209.766762473623,7485.835523473383,7847.409954048649,6214.404573233613,7490.721701480312,7852.352875165997,8131.4183677516785,1.6010000705718994
"Normal 50,5 - 10,90",3,4,black_box,6209.766762473623,7805.192048847003,7839.4690265864065,6214.404573233613,7813.146387190226,7845.3310265429645,8131.4183677516785,13.748000144958496
"Normal 50,5 - 10,90",3,4,ls_independent,6209.766762473623,7805.192048847003,7846.9117066741655,6214.404573233613,7813.146387190226,7851.803618888513,8131.4183677516785,3.2139999866485596
"Normal 50,5 - 10,90",3,5,black_box,6209.766762473623,7723.53831207957,7838.642576371278,6214.404573233613,7728.742851624535,7844.151175718927,8131.4183677516785,20.53600001335144
"Normal 50,5 - 10,90",3,5,ls_independent,6209.766762473623,7723.53831207957,7847.525211451116,6214.404573233613,7728.742851624535,7852.302969431243,8131.4183677516785,6.334000110626221
"Normal 50,5 - 10,90",4,2,black_box,9018.076203711782,10570.257146434005,10522.673862463444,9048.601956029679,10621.493594609177,10562.970783936591,10948.469860675223,7.96399998664856
"Normal 50,5 - 10,90",4,2,ls_independent,9018.076203711782,10570.257146434005,10624.500086914644,9048.601956029679,10621.493594609177,10665.892615113637,10948.469860675223,1.5570001602172852
"Normal 50,5 - 10,90",4,3,black_box,9018.076203711782,10279.144360952876,10585.616080724702,9048.601956029679,10309.72003146901,10631.788171867063,10948.469860675223,16.462000131607056
"Normal 50,5 - 10,90",4,3,ls_independent,9018.076203711782,10279.144360952876,10626.063709206406,9048.601956029679,10309.72003146901,10669.201699070794,10948.469860675223,4.4670000076293945
"Normal 50,5 - 10,90",4,4,black_box,9018.076203711782,10574.98722591229,10599.946007146504,9048.601956029679,10625.873579764619,10639.27837039004,10948.469860675223,33.24600005149841
"Normal 50,5 - 10,90",4,4,ls_independent,9018.076203711782,10574.98722591229,10628.272313732696,9048.601956029679,10625.873579764619,10670.770563038484,10948.469860675223,14.906999826431274
"Normal 50,5 - 10,90",4,5,black_box,9018.076203711782,10513.112737558738,10610.871642150852,9048.601956029679,10546.196221075812,10651.30341204294,10948.469860675223,52.139999866485596
"Normal 50,5 - 10,90",4,5,ls_independent,9018.076203711782,10513.112737558738,10629.54498292624,9048.601956029679,10546.196221075812,10672.32029715167,10948.469860675223,24.222000122070312
"Normal 50,5 - 10,90",5,2,black_box,10522.764135266236,13560.832864499454,13412.229692263498,10518.304765048826,13555.74687020883,13405.054569712807,14062.91614097484,14.75
"Normal 50,5 - 10,90",5,2,ls_independent,10522.764135266236,13560.832864499454,13596.480397056668,10518.304765048826,13555.74687020883,13592.244216786363,14062.91614097484,4.08299994468689
"Normal 50,5 - 10,90",5,3,black_box,10522.764135266236,12886.061225358699,13579.885713484957,10518.304765048826,12881.746226112313,13575.079679678065,14062.91614097484,32.04299998283386
"Normal 50,5 - 10,90",5,3,ls_independent,10522.764135266236,12886.061225358699,13598.9625258689,10518.304765048826,12881.746226112313,13593.56164183823,14062.91614097484,10.75600004196167
"Normal 50,5 - 10,90",5,4,black_box,10522.764135266236,13560.832864499456,13591.40880456064,10518.304765048826,13555.74687020883,13586.123725372463,14062.91614097484,69.12999987602234
