dist,n_nodes,n_edges,n_segments,displace_func,rp_ldr,rp_pwldr,eev_ldr,eev_pwldr,ws,opt_time
"Normal 50,5 - 35,65",5,15,5,local_search_independent,-5012.166711558282,0.0,-5001.7685059784435,0.0,-104.15994981871586,30.08899998664856
"Normal 50,5 - 35,65",10,30,2,local_search_independent,-3762.166711558282,0.0,-3747.3924178450775,0.0,-249.4968393428443,0.015000104904174805
"Normal 50,5 - 35,65",10,30,5,local_search_independent,-3762.166711558282,0.0,-3747.3924178450775,0.0,-249.4968393428443,300.8899998664856
"Unif 10,90",5,15,3,black_box,-2766.666666666667,0.0,-2787.0480173397486,0.0,-126.647427002945,4.4629998207092285
"Unif 10,90",5,15,4,black_box,-2766.666666666667,0.0,-2787.0480173397486,0.0,-126.647427002945,7.986000061035156
"Unif 10,90",10,30,3,black_box,-10266.666666666668,0.0,-10551.092420650974,0.0,-315.29890788757433,20.457000017166138
"Unif 10,90",10,30,4,black_box,-10266.666666666668,0.0,-10551.092420650974,0.0,-315.29890788757433,41.57699990272522
"Normal 50,5 - 10,90",5,15,3,black_box,-5012.499999999999,0.0,-5027.790990843096,0.0,-102.85710483437106,11.428999900817871
"Normal 50,5 - 10,90",5,15,4,black_box,-5012.499999999999,0.0,-5027.790990843096,0.0,-102.85710483437106,19.980000019073486
"Normal 50,5 - 10,90",10,30,3,black_box,-3762.499999999999,0.0,-3762.036834222887,0.0,-102.93148221227031,46.85700011253357
"Normal 50,5 - 10,90",10,30,4,black_box,-3762.499999999999,0.0,-3762.036834222887,0.0,-102.93148221227031,88.91599988937378
"Normal 50,5 - 35,65",5,15,3,black_box,-5012.166711558282,0.0,-4988.766788033631,0.0,-101.68158656303048,12.421000003814697
"Normal 50,5 - 35,65",5,15,4,black_box,-5012.166711558282,0.0,-4988.766788033631,0.0,-101.68158656303048,20.60199999809265
"Normal 50,5 - 35,65",10,30,3,black_box,-5012.166711558282,0.0,-5028.146031124681,0.0,-204.14306803225963,48.788999795913696
