idx_p,metric,value,time
1,obj_std,68571.96287554997,0.812999963760376
1,reopt_std,68229.34003037958,0.3810000419616699
1,deterministic,46680.534665581996,0.2999999523162842
1,reopt_deterministic,96283.49465264381,0.19099998474121094
1,ws,43480.09922159621,0.5740001201629639
1,obj_ldr,76088.25173373018,0.3619999885559082
1,reopt_ldr,73696.35123795512,0.12800002098083496
1,dr_ldr,76062.73646960685,0.0
2,obj_std,62913.71444253139,0.07999992370605469
2,reopt_std,63571.215861522505,0.16000008583068848
2,deterministic,42598.76752394705,0.0
2,reopt_deterministic,92964.70643224916,0.19000005722045898
2,ws,45862.642107356216,0.2219998836517334
2,obj_ldr,70288.56982894006,0.03500008583068848
2,reopt_ldr,68652.69522906073,0.12299990653991699
2,dr_ldr,70269.95002511049,0.0
3,obj_std,76229.43011748741,0.30100011825561523
3,reopt_std,74948.19010874484,0.1919999122619629
3,deterministic,50187.48701928861,0.0
3,reopt_deterministic,100494.08335483378,0.2050001621246338
3,ws,51535.187409184844,0.2069997787475586
3,obj_ldr,84403.98882049648,0.043000221252441406
3,reopt_ldr,82190.99897604877,0.1359999179840088
3,dr_ldr,84379.65984816439,0.0
