idx_p,idx_v,variable,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
1,1,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",67.65558221996069,1500.0,428.88073714276777,93.71678937048897,540.1130351951292,0.0,187120.62338121817,5062.843011632914,0.0,30342.9682708638,-0.011307581091026532,0.02702702702702703,0.0006549769140000207,0.0,0.005944274927261378
1,2,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",67.65558221996069,1500.0,428.88073714276777,93.71678937048897,540.1130351951292,0.0,187120.62338121817,5064.182032810207,0.0,30342.74732410756,-0.011307581091026532,0.02702702702702703,0.0006549769140000207,0.0,0.005944274927261378
1,3,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",67.65558221996069,1500.0,428.88073714276777,93.71678937048897,540.1130351951292,0.0,187120.62338121817,5062.213127197637,0.0,30343.07241798442,-0.011307581091026532,0.02702702702702703,0.0006549769140000207,0.0,0.005944274927261378
1,4,"Uniform{Float64}(a=10.0, b=90.0)",3563.609188064694,79009.20525254111,22590.350793182697,4936.326031321423,28449.267771536648,0.0,9.856167826473407e6,266387.3915284009,0.0,1.5982967392297091e6,-0.011307581091026532,0.02702702702702703,0.0006549769140000207,0.0,0.005944274927261378
2,1,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",51.79663867945019,1500.0,422.58449864424597,91.42784023641693,543.777027444557,0.0,185944.67281591013,5031.343450742776,0.0,30152.22761621225,-0.007094820507802654,0.02702702702702703,0.0008305086049676822,0.0,0.005643000084645348
2,2,"Uniform{Float64}(a=10.0, b=90.0)",51.79663867945019,1500.0,422.58449864424597,91.42784023641693,543.777027444557,0.0,185944.67281591013,5031.097100266983,0.0,30152.267306328984,-0.007094820507802654,0.02702702702702703,0.0008305086049676822,0.0,0.005643000084645348
2,3,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",2766.2743433811656,80109.66774795741,22568.735854551778,4882.83593616846,29041.197998370255,0.0,9.930643972523486e6,268401.1906302376,0.0,1.6103737971034637e6,-0.007094820507802654,0.02702702702702703,0.0008305086049676822,0.0,0.005643000084645348
2,4,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",51.79663867945019,1500.0,422.58449864424597,91.42784023641693,543.777027444557,0.0,185944.67281591013,5030.892933249892,0.0,30152.30135943003,-0.007094820507802654,0.02702702702702703,0.0008305086049676822,0.0,0.005643000084645348
3,1,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",55.21807650700671,1500.0,429.9721260696561,86.96829536003492,546.0936280026358,0.0,196958.23490824774,5328.338689544018,0.0,31938.320415652088,-0.008528039824321817,0.02702702702702703,0.0007707911334460504,0.0,0.005733413751318127
3,2,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",55.21807650700671,1500.0,429.9721260696561,86.96829536003492,546.0936280026358,0.0,196958.23490824774,5328.702414372896,0.0,31938.259825253892,-0.008528039824321817,0.02702702702702703,0.0007707911334460504,0.0,0.005733413751318127
3,3,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",55.21807650700671,1500.0,429.9721260696561,86.96829536003492,546.0936280026358,0.0,196958.23490824774,5330.1645553359,0.0,31938.01846316285,-0.008528039824321817,0.02702702702702703,0.0007707911334460504,0.0,0.005733413751318127
3,4,"Uniform{Float64}(a=10.0, b=90.0)",2740.7952200251775,74453.749389769,21342.02461265092,4316.743778394297,27105.812081771957,0.0,9.776186041406626e6,264225.93540741754,0.0,1.585326684398565e6,-0.008528039824321817,0.02702702702702703,0.0007707911334460504,0.0,0.005733413751318127
